,City,Nation,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Category,Population,URL,Latitude,Longitude
0,Chongqing,China,Hongyadong (洪崖洞),4bc830fa15a7ef3b9ca87ada,29.564941572775037,106.5747419365107,Shopping Mall,30751600,https://en.wikipedia.org/wiki/Chongqing,29.558333333333,106.56666666667
1,Chongqing,China,Paulaner Brauhaus,504e9876e4b0225693e3ddcb,29.538571009014728,106.55779131991112,German Restaurant,30751600,https://en.wikipedia.org/wiki/Chongqing,29.558333333333,106.56666666667
2,Chongqing,China,The Cactus,4df77dac45dd222116c98b42,29.565164461302665,106.57534747545412,Mexican Restaurant,30751600,https://en.wikipedia.org/wiki/Chongqing,29.558333333333,106.56666666667
3,Chongqing,China,观音桥步行街,4d4f81433626a093174511bd,29.577044476164808,106.52865539348856,Plaza,30751600,https://en.wikipedia.org/wiki/Chongqing,29.558333333333,106.56666666667
4,Chongqing,China,Blue Frog (蓝蛙),565ab146498e3f29232c2f27,29.580209,106.528782,American Restaurant,30751600,https://en.wikipedia.org/wiki/Chongqing,29.558333333333,106.56666666667
5,Chongqing,China,Hyatt Regency Chongqing (重庆富力凯悦酒店),508aaf71e4b04009098fbc71,29.58303244366521,106.5322284846699,Hotel,30751600,https://en.wikipedia.org/wiki/Chongqing,29.558333333333,106.56666666667
6,Chongqing,China,TT酒吧,4e204ea918a88345f03ec31e,29.557010575552585,106.5714040828079,Nightclub,30751600,https://en.wikipedia.org/wiki/Chongqing,29.558333333333,106.56666666667
7,Chongqing,China,重庆Muse酒吧,4f01a98d93adc8245a5ec4d9,29.556986783587064,106.57156498335917,Nightclub,30751600,https://en.wikipedia.org/wiki/Chongqing,29.558333333333,106.56666666667
8,Chongqing,China,The Harp Irish Pub,4cd027332fd9b60c93927feb,29.565115630591066,106.57531007277498,Bar,30751600,https://en.wikipedia.org/wiki/Chongqing,29.558333333333,106.56666666667
9,Chongqing,China,KFC (肯德基),4d1c6df81cb9a143e295ae2b,29.71996111934223,106.63536071777344,Fast Food Restaurant,30751600,https://en.wikipedia.org/wiki/Chongqing,29.558333333333,106.56666666667
10,Chongqing,China,Paradise Walk (北城天街),4dc53134c65b89d3ca671225,29.580204410130907,106.52929405754765,Shopping Mall,30751600,https://en.wikipedia.org/wiki/Chongqing,29.558333333333,106.56666666667
11,Chongqing,China,Apple Paradise Walk Chongqing (Apple 重庆北城天街),53d05063498e9a40996dc5e2,29.5809963385395,106.52974605560301,Electronics Store,30751600,https://en.wikipedia.org/wiki/Chongqing,29.558333333333,106.56666666667
12,Chongqing,China,Apple MixC Chongqing (Apple 重庆万象城),5517cbbc498e697003e1c82d,29.518981877291825,106.51448965072632,Electronics Store,30751600,https://en.wikipedia.org/wiki/Chongqing,29.558333333333,106.56666666667
13,Chongqing,China,日月光中心广场,4b921c4af964a520afe733e3,29.556547663385697,106.56853079795837,Shopping Mall,30751600,https://en.wikipedia.org/wiki/Chongqing,29.558333333333,106.56666666667
14,Chongqing,China,Star Light 68 Plaza | 星光68广场,4cfe0529084f5481eb3b8e09,29.580975838628696,106.52782110549504,Shopping Mall,30751600,https://en.wikipedia.org/wiki/Chongqing,29.558333333333,106.56666666667
15,Chongqing,China,重庆新天地,4bc821a315a7ef3b7d9c7ada,29.55601628208022,106.50526205249683,Shopping Mall,30751600,https://en.wikipedia.org/wiki/Chongqing,29.558333333333,106.56666666667
16,Shanghai,China,The Bund (外滩),4b83cd99f964a520311131e3,31.23931586181669,121.48606538772583,Waterfront,24256800,https://en.wikipedia.org/wiki/Shanghai,31.228611111111,121.47472222222
