,City,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Chongqing,29.558333333333,106.56666666667,The Harp Irish Pub,29.565115630591066,106.57531007277498,Bar
1,Chongqing,29.558333333333,106.56666666667,重庆八一路好吃街,29.558668809269747,106.57363123114304,Chinese Restaurant
2,Chongqing,29.558333333333,106.56666666667,Paulaner Brauhaus,29.538571009014728,106.55779131991112,German Restaurant
3,Chongqing,29.558333333333,106.56666666667,重庆Muse酒吧,29.556986783587064,106.57156498335917,Nightclub
4,Chongqing,29.558333333333,106.56666666667,TT酒吧,29.557010575552585,106.5714040828079,Nightclub
5,Chongqing,29.558333333333,106.56666666667,重庆国泰艺术中心 Cathay Pacific Art Centre,29.563591376276445,106.57442125733272,Public Art
6,Chongqing,29.558333333333,106.56666666667,Hongyadong (洪崖洞),29.564941572775037,106.5747419365107,Shopping Mall
7,Chongqing,29.558333333333,106.56666666667,The Cactus,29.565164461302665,106.57534747545412,Mexican Restaurant
8,Chongqing,29.558333333333,106.56666666667,Hyatt Regency Chongqing (重庆富力凯悦酒店),29.58303244366521,106.5322284846699,Hotel
9,Chongqing,29.558333333333,106.56666666667,Blue Frog (蓝蛙),29.580209,106.528782,American Restaurant
10,Chongqing,29.558333333333,106.56666666667,日月光中心广场,29.556547663385697,106.56853079795837,Shopping Mall
11,Chongqing,29.558333333333,106.56666666667,Club Intercontinental,29.561556647883894,106.52020909829889,Lounge
12,Chongqing,29.558333333333,106.56666666667,金翠河港式茶餐廳,29.58106263685678,106.53057714520283,Chinese Restaurant
13,Chongqing,29.558333333333,106.56666666667,Paulaner,29.561488871120908,106.53228026904199,German Restaurant
14,Chongqing,29.558333333333,106.56666666667,"IMAX, Chongqing Science & Technology Museum",29.574025182654147,106.5744139037564,Movie Theater
15,Shanghai,31.228611111111,121.47472222222,Pizza Marzano (披萨马上诺),31.22232069224079,121.47031469259389,Pizza Place
16,Shanghai,31.228611111111,121.47472222222,Green Massage,31.223859363202603,121.47287345947018,Massage Studio
17,Shanghai,31.228611111111,121.47472222222,Mayita,31.226249633702082,121.47611303753217,Mexican Restaurant
